id,incorrect_name,length,ref_code,ref_name,ref_unit
-7029061202163931197,din -рейка оцинкованная тн35-7.5 100 см (chint),47,,,
3683270353051234821,анкерный элемент технониколь 8*45мм,35,,,
273640822075944473,анкер забивной м10 drm 12x40 сталь,34,,,
-3895021269237747478,анкер забивной м10/12x40,24,,,
8296969281690205898,анкер забивной м8 laz латунь,28,,,
826853549677501747,анкер забивной м10,18,,,
5764113347331727588,анкер забивной м8,17,,,
-9221505036206867460,"анкерный стержень 15,0мм без покрытия 1,00м",43,,,
-7710159686937323266,"анкерный стержень 15,0мм без покрытия, неоцинкованный 2,00м",59,,,
-2577047663552605893,"анкерный стержень 15,0мм без покрытия, неоцинкованный 3,00м",59,,,
6182686514816844889,шпилька м8х1000 (din975) оцинкованная (поштучно),48,,,
2788473199628969034,химический анкер на основе полиэстра 300 мл akfix c900 (12шт в упк),67,,,
-1994186319130070952,анкер-шпилька hst3 m16x145 45/25,32,,,
-3998596307089463185,анкер-шпилька hilti hsa m8*85 35/25,35,,,
434580533982583473,2105859 анкер-шпилька hst3 м16х145 45/25,40,,,
5606938513734851373,анкер-шпилька hst3 м16х145 45/25(срок постаки 4-6 недель),57,,,
-3929064100510044730,анкер для бетона с шестигранной головкой с воротником r-lx-14x080-hf-zp гальваническое покрытие,95,,,
740610712455208230,забивной анкер m14/18*60,24,,,
-5706204545165197836,анкер-шуруп hus3-h 14x75 10/-/-,31,,,
5736206771449526244,анкер-шуруп hus4-h 14x75 10/-/-,31,,,
3659240047228759486,арматура композитная аск-6 н бухта 50 м(срок постаки 1-2 раб дня),65,,,
1573478228724318228,арматура стеклопластиковая аск-4,32,,,
45856734600585545,аэратор кровельный технониколь 160x460мм,40,,,
-4827001426788127277,аэратор кровельный технониколь 160х460 мм. срок поставки 3-4 раочих дня,71,,,
2333535819005405407,аэратор кровельный технониколь эко 160x450мм,44,,,
7267998094202856193,аэратор кровельный технониколь эко 160x460 мм,45,,,
-3064206662204418213,"аэратор поливент супер d-160 мм, высота 470 мм ( в уп.4 шт.)",60,,,
4678523214010153496,"аэратор поливент супер д-160 мм,высота 470 мм",45,,,
3484867538834926039,"волма монтаж гипсовая клеевая смесь, 30 кг (45шт/под)",53,,,
8003142039697922526,"шпаклевка гипсовая ""профи база"" de luxe 25 кг",45,,,
6708044226834934313,балка 14 б1,11,,,
-4487787067814704685,"балка 14 б1 (1 шт = 129 кг, l = 12 000 мм)",42,,,
1615452711642933813,"балка 14 б1 (12м=131кг,стзпс)",29,,,
-227441052922857353,балка 14 б1 l=12000мм,21,,,
2492887877843817186,балка 14 б1 с.255 сто-асчм 20-93,32,,,
7350087237720966571,балка 20 б1,11,,,
8299323344684585604,"балка 20 б1, с255",17,,,
-2906622535523194362,"балка 20 б1, сто9г2с",20,,,
8678021608448549012,балка двутавровая №14 б1,24,,,
8673993416802819733,балка монолитная бм1 (7500x500x400) в25,39,,,
-4342755970257160784,балка монолитная бм2 (6000x500x400) в25,39,,,
8038570452852262367,балка монолитная бм2(6000*500*400) в25,38,,,
-4607400019102967601,балка монолитная бм7 (5500x500x350) в25,39,,,
5980064564676807852,балка монолитная бм7(5500*500*350) в25,38,,,
-349324150144392166,балка монолитная бмз (5000x500x300) в25,39,,,
5808314185124811806,балка монолитная бм4 (3500x500x200) в20,39,,,
-7632742387607398323,балка монолитная бм4(3500*500*200) в20,38,,,
-4569774719276819588,балка монолитная бм5 (2500x500x200) в20,39,,,
-4991555462070782962,балка монолитная бм5(2500*500*200) в20,38,,,
-8503115937666957702,"бетононасос 120 подача бетона, раствора",39,,,
1923795358276820355,"бетононасос 688 подача бетона, раствора",39,,,
-3849170825810367581,120808-00041 комплект маркировочный пластмассовый кмп (в упаковке 50 комплектов и 1 маркер) ссд,95,,,
7912006223309797323,"комплект маркировочный кмп для кабеля, бирки 90x20x2, пластмасса, черный (50 комплектов + 1 маркер) 120808-00041 (связьстройдеталь)",131,,,
-2448697196044227936,комплект маркировочный пластмассовый кмп (в упаковке 50 комплектов и 1 маркер) ссд,82,,,
-920870176145396327,комплект маркировочный пластмассовый кмп (в упаковке 50 комплектов и 1 маркер) ссд — 14 дней —,94,,,
-2511837954640592341,комплект маркировочный пластмассовый кмп (в упаковке 50 комплектов и 1 маркер) ссд — в наличии —,96,,,
-1647865988915707121,комплект маркировочный пластмассовый кмп (в упаковке 50 комплектов и 1 маркер) ссд— в наличии —,95,,,
2909377762839693891,дверь межкомнатная глухая финиш-бумага ламинация цвет белый 90x200 мм,69,,,
3926337600754567875,(дм-2)  дверь металлическая комплект фурнитуры по тз,52,,,
2962932469756292687,(дпм-1 ei-60)  дверь металлическая противопожарная комплект фурнитуры по тз,75,,,
-2582827031760308793,(дпм-1 ei-60)  дверь металлическая противопожарная комплект фурнитуры по тз подготовка под эмз,94,,,
-8522721187677644674,двери противопожарные 1200x2100. без учета монтажа.,51,,,
2120393063672676888,двери противопожарные 1200х2100. без учета монтажа.,51,,,
-3086754789376127675,дверь входная металлическая металл/металл 2050х960х45 мм правая,63,,,
-1130450443066696053,"дверь металлическая, наруж., двупол. 1500*2100",46,,,
8852047828250609674,"дверь металлическая, однопол., пр. 1050*2100",44,,,
9063041037039934143,"дверь металлическая, однопол., пр. 1070*2110",44,,,
-1389274605264260435,"дверь металлическая, однопол., пр. 900*1300",43,,,
-8695759272372944728,"дверь противопожарная металлическая дпм-1 ei-60. металл 1,2 мм. размер по коробке 1010*2080(5), открывание правое, порог 14мм, наличники 50 мм с трех сторон, порошковая покраска по каталогу ral9010, ручка нажимная с огнеупорным замком ключ/ключ, 2 петли на створке. дополнительно: доводчик",289,,,
-2619121833401920378,"дверь противопожарная металлическая дпм-1 ei-60. металл 1,2 мм. размер по коробке 1040*2090(5), открывание правое, порог 14мм, наличники 50 мм с трех сторон, порошковая покраска по каталогу ral9010, ручка нажимная с огнеупорным замком ключ/ключ, 2 петли на створке. дополнительно: доводчик",289,,,
-4661194502257701553,"дверь противопожарная металлическая дпм-1 ei-60. металл 1,2 мм. размер по коробке 1060*2080(5), открывание правое, порог 14мм, наличники 50 мм с трех сторон, порошковая покраска по каталогу ral7016, ручка нажимная с огнеупорным замком ключ/ключ, 2 петли на створке. дополнительно: доводчик, вент.решетка 600*200(5) мм",317,,,
-6241374055937626590,"дверь противопожарная металлическая дпм-1 ei-60. металл 1,2 мм. размер по коробке 1060*2080(5), открывание правое, порог 14мм, наличники 50 мм с трех сторон, порошковая покраска по каталогу ral7016, ручка нажимная с огнеупорным замком ключ/ключ, 2 петли на створке. дополнительно: доводчик",289,,,
-529105192982879353,лестница металлическая вл-3 (покраска гф021 два слоя),53,,,
-7570938031924649969,накладка дверная фабрика замков е 002 алюминий,46,,,
