27.33.13.130.20.2.08.01-0001-000,"DIN-рейки металлические, оцинкованные, размеры 7,5х35х260 мм",100 шт
25.94.11.190.01.7.15.01-1169-000,"Анкер грунтовый забивной самораскрывающийся, оцинкованный, предельная несущая нагрузка не менее 45 кН",шт
25.94.11.190.01.7.15.01-0037-000,"Анкер забивной латунный, диаметр внутренней резьбы М10, диаметр 12 мм, длина 40 мм",шт
25.94.11.190.01.7.15.01-0037-000,"Анкер забивной латунный, диаметр внутренней резьбы М10, диаметр 12 мм, длина 40 мм",шт
25.94.11.190.01.7.15.01-0036-000,"Анкер забивной латунный, диаметр внутренней резьбы М8, диаметр 10 мм, длина 28-30 мм",шт
25.94.11.01.7.15.01-0037,Анкер забивной М10,шт.
25.94.11.01.7.15.01-0036,Анкер забивной М8,шт.
25.11.23.112.01.7.15.01-1183-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3000 мм",шт
25.11.23.112.01.7.15.01-1183-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3000 мм",шт
25.11.23.112.01.7.15.01-1183-000,"Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3000 мм",шт
25.94.11.190.01.7.15.01-0043-000,"Анкер трубчатый стальной оцинкованный для слабых грунтов с винтовым наконечником, диаметр 76 мм, толщина стенки 3,5-5 мм, длина 1000 мм",шт
20.52.10.190.14.1.06.06-102classification.csv3-000,Анкер химический двухкомпонентный на основе винилэстеровой смолы,л
25.94.11.190.01.7.15.01-1470-000,"Анкер-шпильки стальные оцинкованные фрикционные расклинивающиеся для бетона без трещин, наружная резьба М12, длина 145 мм",10 шт
25.94.11.190.01.7.15.01-1464-000,"Анкер-шпильки стальные оцинкованные фрикционные расклинивающиеся для бетона без трещин, наружная резьба М8, длина 85 мм",10 шт
25.94.11.190.01.7.15.01-1526-000,"Анкер-шпильки стальные оцинкованные фрикционные распорные для бетона с трещинами, сейсмостойкость C1, C2, наружная резьба М16, длина 145 мм",10 шт
25.94.11.190.01.7.15.01-1526-000,"Анкер-шпильки стальные оцинкованные фрикционные распорные для бетона с трещинами, сейсмостойкость C1, C2, наружная резьба М16, длина 145 мм",10 шт
25.94.11.190.01.7.15.01-1548-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой для бетона с трещинами, сейсмостойкость C1, C2, диаметр 14 мм, длина 75 мм",100 шт
25.94.11.190.01.7.15.01-1533-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой, диаметр 10 мм, длина 60 мм",100 шт
25.94.11.190.01.7.15.01-1131-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой, диаметр 8 мм, длина 75 мм",100 шт
25.94.11.190.01.7.15.01-1131-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой, диаметр 8 мм, длина 75 мм",100 шт
